round,loss,dice,iou,precision,accuracy,recall
0,0.45548856480043504,0.5445114351995648,0.7002304493787351,0.753119676874303,0.9971141198799436,0.8805573878909709
1,0.25099816918486717,0.7490018308151329,0.6408490894788145,0.66709873807258,0.9967408192090395,0.8979523955780215
2,0.15304914065544495,0.8469508593445552,0.7541268974458935,0.8015890563454253,0.9979027262829566,0.9101966984493277
3,0.1954407145935692,0.8045592854064306,0.7019393934726763,0.9132735646849378,0.9977563706450094,0.7360680750595177
4,0.17572694524269375,0.8242730547573062,0.7257035051791049,0.8527869234655481,0.9979137976694914,0.8108157375049375
5,0.13294080911999837,0.8670591908800015,0.7809607560604603,0.9084386687296254,0.9983470530249531,0.8354450316831821
6,0.11756636670098,0.8824336332990198,0.8053355773310856,0.9122585242530847,0.9985267331685501,0.8593121057328531
7,0.14193822788386304,0.858061772116137,0.7769175614204991,0.8273978448976843,0.998314206685499,0.8939498574573308
8,0.1953897157800782,0.8046102842199221,0.7042466549837644,0.9420416144767683,0.9978247851930319,0.7315646423207887
9,0.17403643606605024,0.8259635639339498,0.7342469278379152,0.7975098624841447,0.9979930261299436,0.875851003399715
